Method,Total,Total STOP,STOP CE Found,STOP CE Found (%),STOP CE Not Found,STOP CE Not Found (%),Total GO,GO CE Found,GO CE Found (%),GO CE Not Found,GO CE Not Found (%),Total LEFT,LEFT CE Found,LEFT CE Found (%),LEFT CE Not Found,LEFT CE Not Found (%),Total RIGHT,RIGHT CE Found,RIGHT CE Found (%),RIGHT CE Not Found,RIGHT CE Not Found (%),Total CE Found,Total CE Found (%),Total CE Not Found,Total CE Not Found (%),Total Time Taken (s),Total Time Taken (min)
grid_based,2312,888,888,100.00%,0,0.00%,988,988,100.00%,0,0.00%,230,221,96.09%,9,3.91%,206,205,99.51%,1,0.49%,2302,99.57%,10,0.43%,1140.29,19.0
object_detection,2312,888,35,3.94%,853,96.06%,988,45,4.55%,943,95.45%,230,3,1.30%,227,98.70%,206,0,0.00%,206,100.00%,83,3.59%,2229,96.41%,215.6,3.59
lime_on_image,2312,888,888,100.00%,0,0.00%,988,988,100.00%,0,0.00%,230,3,1.30%,227,98.70%,206,151,73.30%,55,26.70%,2030,87.80%,282,12.20%,4504.18,75.07
lime_on_latent,2312,888,71,8.00%,817,92.00%,988,64,6.48%,924,93.52%,230,28,12.17%,202,87.83%,206,38,18.45%,168,81.55%,201,8.69%,2111,91.31%,4553.82,75.9
lime_on_latent_nun,2312,888,875,98.54%,13,1.46%,988,949,96.05%,39,3.95%,230,224,97.39%,6,2.61%,206,205,99.51%,1,0.49%,2253,97.45%,59,2.55%,15133.51,252.23
