Method,Total,Total STOP,STOP CE Found,STOP CE Found (%),STOP CE Not Found,STOP CE Not Found (%),Total GO,GO CE Found,GO CE Found (%),GO CE Not Found,GO CE Not Found (%),Total CE Found,Total CE Found (%),Total CE Not Found,Total CE Not Found (%),Total Time Taken (s),Total Time Taken (min)
grid_based,2422,926,926,100.00%,0,0.00%,1496,782,52.27%,714,47.73%,1708,70.52%,714,29.48%,1219.97,20.33
object_detection,2422,920,49,5.33%,871,94.67%,1502,2,0.13%,1500,99.87%,51,2.11%,2371,97.89%,211.2,3.52
lime_on_image,2422,928,912,98.28%,16,1.72%,1494,2,0.13%,1492,99.87%,914,37.74%,1508,62.26%,1801.35,30.02
lime_on_latent,2422,918,104,11.33%,814,88.67%,1504,65,4.32%,1439,95.68%,169,6.98%,2253,93.02%,4135.02,68.92
lime_on_latent_nun,2422,922,912,98.92%,10,1.08%,1500,1386,92.40%,114,7.60%,2298,94.88%,124,5.12%,15607.52,260.13
