Epoch,Train Loss,Train Recon Loss,Train KL Loss,Val Loss,Val Recon Loss,Val KL Loss,Val Pixel Accuracy,Val PSNR,Val SSIM,KL Weight
1,609.8991223658551,608.8284350386247,7137.923989814543,412.07072181632344,411.93970983494853,873.4167691929134,0.7989608543270071,16.797401875887434,0.45703828,0.00015000000000000001
2,271.9540415073084,271.4993929396395,1818.6025813673887,211.12965745192307,210.71869203323743,1643.864192156269,0.8609892029534103,19.82224005964646,0.5030634,0.00025
3,182.618290977166,182.00348689909308,1756.5836264105574,161.10465721532404,160.55976964718351,1556.8216327225923,0.8834019965435215,21.011342438038003,0.5441219,0.00035000000000000005
4,147.52896006300173,146.75841571446153,1712.3202793661012,144.21586349182314,143.52308496744396,1539.5068802998182,0.8918678708541473,21.498643773431088,0.56830114,0.00045000000000000004
5,131.46222661575092,130.56538338879318,1630.623821379885,130.73049004391277,129.9855798805648,1354.380782480315,0.9027274039786631,21.95396648263994,0.5846104,0.00055
6,121.53896990258633,120.52934287786844,1553.2729251079218,115.90167003425954,115.00067430723804,1386.1476377952756,0.9088946766090855,22.523185900104036,0.5984631,0.0006500000000000001
7,111.74847243851295,110.63163816954143,1489.1125866214784,121.25052820733646,120.04359692042702,1609.2423152634767,0.9073044268165048,22.281163710552608,0.6060369,0.00075
8,106.7796278441902,105.54271551234474,1455.1908666407908,100.4339675764688,99.23322157972441,1412.6418363870382,0.9161360624123891,23.173124190766682,0.6203558,0.0008500000000000001
9,98.30297807186743,96.96711993051348,1406.1666883614814,102.33893343522865,101.12662602683979,1276.1131416565718,0.9147706496433949,23.070059972295567,0.62584937,0.0009500000000000001
10,94.01990844393744,92.58870647329881,1363.0491683391397,92.25541989230013,90.88305501400666,1307.0145839642641,0.9201197951291995,23.55618185439953,0.63549936,0.00105
11,88.7793168440908,87.29017825445888,1294.903175647531,93.26943483589491,91.85135015236978,1233.1177506056936,0.9188525670950951,23.484334024099518,0.64010775,0.00115
12,85.11389252605744,83.56867577414988,1236.1734074428205,86.07606363094337,84.45830356128862,1294.208670881284,0.9254459154598645,23.864592830477008,0.6501624,0.00125
13,82.14843846147474,80.5271345922637,1200.965713514844,80.50530691626287,78.96919658067081,1137.85945071169,0.9274201139690369,24.18820873594025,0.65699065,0.00135
14,78.77345998371706,77.09147552055721,1159.9893379847017,77.6932452159676,76.05593555988794,1129.1789256511206,0.9286276056577335,24.360542478113793,0.662632,0.00145
15,75.3410561696503,73.61327740410103,1114.6958071417753,79.96393402672622,78.36724960724561,1030.118588166263,0.926666196189744,24.18912702302757,0.66637456,0.00155
16,75.02153341021187,73.23965379217472,1079.927234408134,76.865146241861,75.0831556868943,1079.9945250984251,0.9288341484237338,24.40923877965718,0.67205,0.00165
17,74.07799845513196,72.1759702907263,1086.8729930324143,71.82044854444277,69.96303376741369,1061.3794007419745,0.9324244954310209,24.727950037901362,0.6778272,0.00175
18,71.63311906252366,69.6710972408929,1060.5524876457891,73.66453688105693,71.7185394268625,1051.890464112659,0.9311650467236644,24.597423995925894,0.6793616,0.00185
19,69.28691833736463,67.27195490594706,1033.314505784232,68.50985109639991,66.54305096816323,1008.6152284600242,0.9347048064638527,24.953495703771146,0.68629843,0.00195
20,67.53478046129487,65.49572254678979,994.6625951416238,68.90572208841233,66.88671460951696,984.8820790430043,0.9345471833345748,24.935004098040313,0.6887852,0.00205
21,67.05388725717586,64.95296251076851,977.1742393403514,69.31454569437084,67.32768019382192,924.1233627347062,0.9335401735112279,24.89677108317531,0.6925921,0.0021500000000000004
22,65.44750111235231,63.33010874427257,941.063309413814,67.48132937897486,65.3063262440377,966.6681793231375,0.9360930632274126,25.003126754986194,0.69723326,0.0022500000000000003
23,62.10958792967567,59.9852813008842,903.9604215578613,66.59520626703512,64.62469153401348,838.516528808298,0.9360392287165955,25.087487013707943,0.69820195,0.00235
24,61.30694814899841,59.158922751864964,876.7450334652378,65.80608846201166,63.78126508318822,826.4586945411871,0.9371924013675595,25.161858951695823,0.7021057,0.0024500000000000004
25,60.42935505161788,58.26061061337947,850.4879161854362,61.32969217283086,59.23821588951772,820.1866293155663,0.9391045896736945,25.482403772758992,0.7066845,0.00255
26,58.794442838699446,56.61266032221533,823.3141448614057,59.650930662288005,57.52229147344413,803.2599560872198,0.9399084882040156,25.61857505831127,0.7097349,0.0026500000000000004
27,58.68842168448008,56.48744750347906,800.3542285955014,63.71441166101984,61.65743536114476,747.9913594033919,0.9395537391566711,25.296378024968345,0.7092795,0.0027500000000000003
28,56.77342529666673,54.5304322657315,787.015109649538,57.82780411256436,55.617639404149,775.4963942307693,0.9411568805566345,25.777466908527135,0.7152714,0.00285
29,55.06342582621743,52.8385058948756,754.2100239510754,57.67837999460554,55.436553899625224,759.9411578210176,0.9416212313901576,25.777670433403426,0.71814835,0.0029500000000000004
30,54.46008781518621,52.218625452041046,734.9057600916389,56.73543230191929,54.54954679455633,716.6837333434282,0.9410632440785363,25.857569373502926,0.71953964,0.00305
31,54.485808854679455,52.187873274078875,729.503340607013,55.451292540505754,53.22473506823516,706.8436932162326,0.9431147623755295,25.979202124949538,0.7230247,0.0031500000000000005
32,54.57009158268801,52.25343157731559,712.8184712019086,63.218526709664594,60.89983875776045,713.4424591156875,0.936401936049031,25.338334326476616,0.7210034,0.0032500000000000003
33,53.64636481931375,51.274027845491894,708.1602745853529,55.53805577112356,53.20782149076317,695.5922215702604,0.9422316884792334,25.97280762295639,0.7263316,0.00335
