Epoch,Train Loss,Train Recon Loss,Train KL Loss,Val Loss,Val Recon Loss,Val KL Loss,Val Pixel Accuracy,Val PSNR,Val SSIM,KL Weight
1,1257.74236973644,1256.10927027321,10887.354321706,823.969445601151,823.662841649001,2044.06532026045,0.805826575881709,15.6134173222469,0.44264522,0.00015
2,582.602909156316,582.032646357165,2281.06429869736,427.505299818292,427.035056878407,1880.96298644761,0.866047961216562,18.6052339179533,0.48441538,0.00025
3,381.08606737305,380.38569100746,2001.07519975008,342.605374110388,341.960568405512,1842.30248712901,0.882622178542405,19.9887948413983,0.5293751,0.00035
4,312.467348317745,311.568267073425,1997.95484796274,287.655140350545,286.737732340248,2038.69583774985,0.894058278118171,21.3497661326868,0.5592085,0.00045
5,274.391244781411,273.312296463193,1961.72269056725,259.026900126817,257.88587645745,2074.5816645215,0.902118002696878,21.8117323644148,0.5770995,0.00055
6,249.907360873126,248.65455839613,1927.39016112542,244.643388476681,243.29346915695,2076.80017792247,0.90797012517266,22.1522279149,0.5895324,0.00065
7,233.409150991177,232.006272069543,1870.50451567707,217.236237034373,215.823572834646,1883.54943973349,0.91424374978229,22.1882180352783,0.59890854,0.00075
8,213.460389903154,211.928481071077,1802.24646887307,214.765227513628,213.389193575863,1618.86582942156,0.915021483570355,22.7271118804794,0.6118588,0.00085
9,200.870043671662,199.184918218438,1773.81542051651,190.074419859176,188.427547461766,1733.55084986372,0.919866405386841,22.8413241951906,0.6193114,0.00095
10,189.80365798243,187.994343865969,1723.15550803734,185.306810976302,183.621755044291,1604.8166262871,0.922706287135362,23.2781441345393,0.627089,0.00105
11,181.651459045318,179.698812268063,1697.9537131267,174.519739457147,172.521227665052,1737.83504315566,0.924947765760173,23.3484139046296,0.6348345,0.00115
12,177.491864148648,175.398615446787,1674.59876978567,172.773000974788,170.596567894458,1741.14529073289,0.926650449985594,23.3346616058928,0.6403919,0.00125
13,166.206438241963,163.981946018962,1647.77186718987,171.262492428831,169.156504343958,1559.99104709267,0.925123022405542,23.9131623117687,0.64874774,0.00135
14,162.24004060086,159.886347176992,1623.23626599894,175.027310626136,172.66141613984,1631.65159373107,0.923505911207575,24.1102445094006,0.65475845,0.00145
15,155.309734798641,152.815137251259,1609.41788591525,149.822781410887,147.354894405853,1592.18489741066,0.931472878467669,24.1859610785862,0.6606725,0.00155
16,148.074277030161,145.502541547542,1558.62822108831,146.029564823403,143.381048654225,1605.16197569655,0.932887077475952,24.2492144143834,0.66524917,0.00165
17,145.631184797221,142.977426791834,1516.43381503711,139.460063858078,136.832265483041,1501.59869965173,0.934780630034291,24.5122088135733,0.66992885,0.00175
18,139.226843694382,136.492669568644,1477.9316329332,143.631854865422,140.944416381171,1452.66919669897,0.931547733525808,24.6726955552588,0.67565036,0.00185
19,136.598589915935,133.791413231786,1439.57801021471,137.172611414484,134.231416329119,1508.30510864628,0.935743562854614,24.7188118756041,0.67968553,0.00195
20,134.552558351163,131.652493592141,1414.66593338193,131.062171718845,128.15295654149,1419.12934395821,0.936853143859819,24.6721477942436,0.6816983,0.00205
21,131.062806044807,128.101219031638,1377.4821952628,130.986647533692,128.190169428566,1300.68742428831,0.937317585670753,24.7287631119306,0.6865232,0.00215
22,125.17967108097,122.187318798991,1329.93431677901,124.29021237129,121.374210942232,1296.00060569352,0.938899232754918,24.8803026427753,0.6891603,0.00225
23,123.172081199352,120.129080350888,1294.89387212208,126.01767099012,123.098131814052,1242.35720775288,0.937881953026005,25.2468440017496,0.69487035,0.00235
24,120.375089195272,117.304018313579,1253.498105451,121.368550310418,118.416235662099,1205.02657480315,0.939523212769622,23.5882857087909,0.684296,0.00245
25,118.766814861974,115.641302469895,1225.69113762875,120.690699410395,117.715661199652,1166.68233267717,0.94089681321675,25.1518035350184,0.69924694,0.00255
26,114.521655517504,111.384928631949,1183.6703650409,120.777593953475,117.581449807882,1206.09208434282,0.94070454621445,25.2641052149869,0.7016238,0.00265
27,113.60678537872,110.417337578811,1159.79904053696,114.493539071964,111.316241813674,1155.3808108722,0.941839134635382,25.4647681262864,0.7053869,0.00275
28,111.461686562784,108.209272817423,1141.19789812746,111.758415236031,108.608901801938,1105.09214112659,0.942789901140457,25.5880256434267,0.70902103,0.00285
29,109.132146937599,105.876605514901,1103.57312533134,109.536122757041,106.248423658957,1114.47465551181,0.943377424485029,25.6832889075424,0.71190506,0.00295
30,108.617375209454,105.318236749991,1081.68483272115,110.468017725999,107.100271260789,1104.17912439431,0.942863833102799,25.664511971546,0.7131097,0.00305
31,104.971219954654,101.636318850467,1058.69871227469,106.305554635448,103.047788863757,1034.21116463507,0.944857148348671,25.7275320879939,0.71568584,0.00315
32,103.593127334165,100.231421053753,1034.37122273553,110.541351595624,107.220386082299,1021.83524663083,0.942745422789864,25.8676521203849,0.71931636,0.00325
33,102.155188088127,98.7556258845568,1014.79456746062,106.603260689544,103.129692941778,1036.88592614325,0.944575765218105,25.7610583754514,0.71980405,0.00335
34,100.264859592145,96.8391040800846,992.972633766283,103.561643511508,100.226069191021,966.833055723804,0.945318655416072,25.8475924290434,0.7226356,0.00345
35,97.972864002504,94.5209605931441,972.367183949939,102.047496072456,98.7356898991142,932.903036985161,0.946044428791876,25.9194117035324,0.72475964,0.00355
36,97.3913413726428,93.9198772034043,951.086065302181,100.884955495722,97.3886553130678,957.890416792853,0.945951058278295,26.1326369239796,0.72704977,0.00365
37,95.8706122730328,92.3499784333819,938.835744613375,103.976007675273,100.570205438939,908.21384766808,0.944486264601973,26.2035504770038,0.7294094,0.00375
